Transaction,EquipmentCode,Success,GasUsed,LatencyMs,BlockNumber,TransactionHash
87,WL-10087-1787670279444-240863,1,499269,4382.750,7162,0xff0be0acbe50c9e30a5104d55620c72681d4acf8f50c8a5909b7e9784bfbc712
88,WL-10088-1787670283826-627427,1,499269,4180.044,7164,0x07e7d77a76a05ca8976b3357c6614c4356b16b54b0af4ca190e3fa0414bbe95f
89,WL-10089-1787670288006-530993,1,499269,4152.678,7166,0x6c33b5a1340eb2cd0a6fb66e599715dd71d1fff1c1b3b0d179d76c4a7ee95aca
90,WL-10090-1787670292158-125739,1,499269,4180.332,7168,0xedec9733751b57502c125ca16766062ea89ae76e1bca723de7538cd2973c798e
91,WL-10091-1787670296339-429013,1,499269,4251.702,7170,0x6ed9f02d4e9c259b9b178084b6017218f87fededcf7814662d8825e7782482a6
92,WL-10092-1787670300591-641955,1,499269,4223.257,7172,0xdd671c942c6653feccedf125f3e62ae96e93db9747f69d64bce62f923ddb7cac
93,WL-10093-1787670304814-948179,1,499269,4172.533,7174,0x84f224cb4f4ee35310d24ba7459aca97587bb5ad73dbb6ab8ba7692ffc71b905
94,WL-10094-1787670308987-388236,1,499269,4233.172,7177,0x08a3157540b67da62dadf1107fc6fef3ac95f2a9b06da7b9955b2dca05a1cdc4
95,WL-10095-1787670313220-964544,1,499269,4233.078,7179,0x957b11dd3275b70fabec1461b9c8c6ed38ba0f92aa5b106b081cdbf6e2ba283f
96,WL-10096-1787670317453-168947,1,499269,4200.056,7181,0x0d66e74abb8212bf24553fe90cd7a501e4fb00167bcc57b73b0b740d1ce4e7b2
97,WL-10097-1787670321653-617228,1,499269,4200.128,7183,0xb81328eb8bb26bc45d66a08214c40ab7d421118be393373f94f8337a72a46aae
98,WL-10098-1787670325854-900893,1,499269,4166.094,7185,0x06ac71ee4ed75c8f6fac8cb1ce8a5c1206eccc777df481e322f0f278f23ed6d8
99,WL-10099-1787670330020-825844,1,499269,4165.131,7187,0x9150ebebcc6fe9d8da38f4f5f3e90bbd737461be11e6cbfdf99c8b9f3f4d622a
100,WL-10100-1787670334185-752697,1,499269,4190.804,7189,0x4014f22803e86a75be639f24824e183e2916990a88203f91342c6a5512b02fff
